,primary_tonnage,bd_opp_total_err,kgCO2_per_kg,exp_extinctions_per_kg,exp_extinctions_err_per_kg,scarcity_weighted_water_use_litres_per_kg
Chestnut,1437.8899999999999,9.112222105832894e-05,0.5385321607637006,1.1004257605314425e-10,6.337217802358244e-11,51.75649677756992
Chick peas,42787.98965695253,0.0006178126584877386,0.09493478554417294,2.656851755721711e-11,1.4438926984908056e-11,2.4827042681299707
Chillies and peppers; dry,11285.01,0.0030749938684063796,0.6989467708223313,4.4192717364290947e-10,2.7248481555677663e-10,34.585446430884865
Chillies and peppers; green,257119.15758984548,0.0007946631116288071,0.49100811094818514,7.658150743626462e-12,3.090641393965858e-12,39.358043185861405
Cinnamon (cannella),2319.92,0.0076320202220669766,12.112446152953176,7.512663501576465e-09,3.289777329419539e-09,27.1326945178282
Cocoa; beans,197981.82029563913,0.6929560999566367,2.4752763048814272,4.315640360518369e-09,3.500099650169244e-09,10.699726969015348
Coconuts,65561.64553407513,0.07354242929143738,0.5650045501619364,1.5196866903616358e-09,1.1217294607594057e-09,10.664144806381783
Coffee; green,213585.75999999998,0.4367892794501472,16.61917185696203,4.256289112068675e-09,2.0450299657156325e-09,12.889597216640288
Cranberries,236.65184885443836,3.300067519855316e-06,1.2269850584617035,2.7622639448976087e-11,1.3944820358809651e-11,29.761450583604468
Cucumbers and gherkins,259824.5574879514,0.00022678547074626845,0.48367958232872726,1.3573106161493558e-12,8.728407851008655e-13,32.77013127840047
Currants,14624.839999999998,3.9165491785766646e-05,1.2270505160012362,5.064845877349227e-12,2.6780116422310708e-12,5.028261253682092
Dates,19498.531598232683,0.0008070918301411728,0.5969255007145099,8.600208555401325e-11,4.1392441583361404e-11,58.45628492544591
Eggplants (aubergines),37500.93402869771,8.897083419711869e-05,0.5145619993707755,7.641068606428853e-12,2.3724964857950865e-12,41.50696840596162
Eggs; hen; in shell,824621.4,0.01240371474100756,7.059451045546683,6.373593691582989e-11,1.5041708523460052e-11,22.016309362329807
Eggs; other bird; in shell,13403.98,0.0002987846828047982,6.796301728654971,6.874149003886392e-11,2.229074370483977e-11,22.75718002219876
Figs,17277.55187436758,0.0006255970179328883,0.6321833472627827,1.8343433117868904e-10,3.6208660953928547e-11,56.37419220544821
Fruit; fresh nes,435200.8961295471,0.2928383185069802,0.9538280547058381,5.535525880173645e-10,6.728807801439141e-10,34.25288517469973
Fruit; tropical fresh nes,10967.533927937,0.001994810443045922,1.2838457149039983,2.9762050721458163e-10,1.8188322517650488e-10,33.6603332813251
