,primary_tonnage,bd_opp_total_err,kgCO2_per_kg,exp_extinctions_per_kg,exp_extinctions_err_per_kg,scarcity_weighted_water_use_litres_per_kg
Pulses nes,3067.7611076918247,4.8016340287244606e-05,1.720272206185899,1.9968405738949286e-11,1.565191636560383e-11,4.701204264894094
Pumpkins; squash and gourds,83061.32313261977,0.004228085633916934,0.6420628418678297,8.215673681387965e-11,5.090318182346031e-11,61.06627654138833
Quinces,841.99,2.1823192739500142e-05,0.6230023489367322,3.9167918642644895e-11,2.5918588985023746e-11,59.112735208494165
Quinoa,820.0248722424662,0.0013886978055074218,1.1816276524687113,2.365074946598132e-09,1.693482542437822e-09,23.431153888916416
Rapeseed,539132.2633143001,0.019457415400476998,3.8188206688359365,6.721591243421278e-11,3.60902448702719e-11,14.894776631550332
Raspberries,51628.15999999999,0.0011070057817939485,1.3493785692141724,2.84311095386285e-11,2.144189879697337e-11,47.99029107706725
Rice; paddy,648955.4800000001,0.0432076715127907,3.6698619939690227,1.3519823520007026e-10,6.65803323099925e-11,35.63479051645113
Sesame seed,11681.989999999998,0.02599629260787148,1.624172874199833,2.8619892891988283e-09,2.2253308389984483e-09,23.911465813949512
Soybeans,,,,,,
Spices nes,23269.700000000004,0.008286019505909138,10.990544422839642,6.534930174154907e-10,3.5608621967232654e-10,36.744234988461386
Spinach,20040.267583195793,0.00014261264977049088,0.6245864347274022,1.318902837835496e-11,7.116304669009247e-12,60.50923780277971
Strawberries,177380.29,0.0004008467957329786,1.264535159668803,3.0373289913708617e-12,2.259815877699707e-12,28.54610523734796
Sunflower seed,240200.77949505692,0.0049095646442915706,1.316565328115816,4.020787048137171e-11,2.0439420116005926e-11,24.815269837043086
Tangerines; mandarins; clementines; satsumas,285327.05,0.006190321791818545,0.33196072669874055,6.100587247115187e-11,2.1695530766601153e-11,62.09321529281119
Tea,96658.46,0.027089947340620753,7.475286230304678,5.849971813580124e-10,2.8026462805863814e-10,16.890242131350945
Tomatoes,1773265.46,0.0017187766501939772,1.7604656806154664,3.5752015949989356e-12,9.69272051458092e-13,53.502343590242944
Vegetables; fresh nes,2059498.0898667504,0.04961379818398601,0.5747904626765241,5.313211824230023e-11,2.4090237533163247e-11,33.96571677566695
Vegetables; leguminous nes,2059498.0898667504,0.04961379818398601,0.5747904626765241,5.313211824230023e-11,2.4090237533163247e-11,33.96571677566695
Walnuts; with shell,11630.119999999999,0.0014556043818456385,0.8555504499479553,2.497617054707864e-10,1.251581567383345e-10,41.94421458500859
Watermelons,133993.31615220167,0.008259053308776113,1.113658625440295,8.859545852208448e-11,6.163780064518096e-11,42.357467751382586
