,primary_tonnage,bd_opp_total_err,kgCO2_per_kg,exp_extinctions_per_kg,exp_extinctions_err_per_kg,scarcity_weighted_water_use_litres_per_kg
Cauliflowers and broccoli,267755.1448814958,0.0008442178171737982,0.6282942647723193,1.6188092076927608e-11,3.1529471358895296e-12,27.638365796237654
Cherries,17748.71,0.0004284825690391391,0.7689766069078071,1.6678963435948412e-10,2.4141617562016568e-11,61.03080360236885
Cherries; sour,333.83,4.98985063799987e-06,1.2677372719376834,9.737503369724793e-11,1.4947280466105112e-11,22.009957827936375
Chestnut,1239.2100000000003,9.825474128389273e-05,0.5654574176454563,1.254862356866448e-10,7.928820884587173e-11,53.294877280928965
Chick peas,590.1062756955805,7.358764766552715e-05,1.3990828378959212,3.3524816307873794e-10,1.2470236412718475e-10,43.51743435851989
Chillies and peppers; dry,15088.879999999997,0.0034449692816918543,0.6788500685612642,3.739794214200529e-10,2.283117952884412e-10,34.71029074365361
Chillies and peppers; green,244003.3002693648,0.0007688886568167851,0.538029313659455,8.99478656872572e-12,3.1511403983797714e-12,46.9117140954084
Cinnamon (cannella),2992.08,0.010459796760766003,11.869884044877228,8.748572686405006e-09,3.4958279059269816e-09,25.77917032525868
Cocoa; beans,202617.09,0.8352310576866628,2.4274111303420707,4.737429539258057e-09,4.122214259846802e-09,10.705355700461892
Coconuts,78657.7496187203,0.08607024329531614,0.6468790520731129,1.8681400333257004e-09,1.0942372965477221e-09,12.07443935182059
Coffee; green,167927.28000000003,0.382910697510696,16.61812483836936,5.2060077568389246e-09,2.2802173506930853e-09,12.837912739132676
Cranberries,42436.19000000001,0.0008957293128106572,1.3953866749828507,9.476921971946985e-11,2.1107675142623713e-11,54.0827381686221
Cucumbers and gherkins,222109.28274938263,0.00015491982935611932,0.5362056270284266,1.7521544216008678e-12,6.974937176800636e-13,35.1587850086572
Currants,13671.590000000002,3.0608073196236706e-05,1.22702882113147,7.658483813461603e-12,2.238808594774763e-12,6.623165118058688
Dates,24952.750000000004,0.00163146919876684,0.6102545280088119,8.55920291864719e-11,6.538234057435913e-11,54.66471214696976
Eggplants (aubergines),27809.742342676625,5.6112734939904494e-05,0.6299591453394704,7.971868974900659e-12,2.0177365992274693e-12,49.60982457714012
Eggs; hen; in shell,807105.9600000001,0.007335233914063248,6.835547772862533,5.899725971776898e-11,9.08831588118027e-12,18.43007402372715
Eggs; other bird; in shell,12001.82,9.090129807201553e-05,6.422319988582762,4.977060230947066e-11,7.573959455483879e-12,18.96157077835773
Figs,18245.899999999998,0.00029688100015882557,0.6426300418869146,9.430459129598804e-11,1.6271107490385546e-11,57.20586169764715
Fruit; fresh nes,497713.11,0.2049727388014326,0.8129691762383233,3.825773976142065e-10,4.118290932730958e-10,42.50726198405885
Fruit; tropical fresh nes,7700.200000000001,0.0034796812877452015,1.2592772191398884,7.53246859402743e-10,4.5189492321565685e-10,29.469987366626835
Garlic,28074.846505307854,0.00022054631338173916,0.42615004912588755,3.113344631262544e-11,7.855655180164298e-12,63.259013093613056
Ginger,29722.850000000002,0.0011159561968194143,11.626011100540545,1.2301819913943926e-10,3.754539678460895e-11,39.33107845022936
Gooseberries,2310.67,7.957070089223481e-06,1.227110132347538,6.510467867958385e-12,3.4436202872861467e-12,4.727668618798877
Grain; mixed,17740.278991415893,0.0013523486963665612,1.3310467613449461,9.161692663325502e-11,7.623040748236999e-11,6.708444606810999
Grapefruit (inc. pomelos),31016.74,0.0004699377425015351,0.2994744165974329,5.86438323226148e-11,1.5151100421950697e-11,54.78882284287775
Grapes,1731014.14,0.040746315431959175,1.6412348228452776,8.075455756350237e-11,2.3538984743336166e-11,51.303009166273824
Groundnuts; with shell,135623.00999999998,0.005804328114410888,3.2261459245706607,1.5585733937473056e-10,4.279751728273019e-11,24.409570197411934
Hazelnuts; with shell,3169.31,0.00031435964975378116,1.1962863419430734,6.506026403326358e-10,9.91886719045411e-11,56.82011363476592
Kiwi fruit,30985.390000000003,0.00025392853970044655,0.982507095706374,4.346415475657625e-11,8.195105490053426e-12,59.4091184732837
Leeks; other alliaceous vegetables,55882.17422199314,4.649396182913354e-05,0.4184423737123443,2.9364144440759713e-12,8.319998725252757e-13,11.526230003352257
Lemons and limes,148914.90000000002,0.003207241594366603,0.3599168349823828,8.154073217356452e-11,2.1537412269468014e-11,48.65043433082115
Lentils,339.7131653695999,5.269540654627786e-05,1.5969507408551458,1.5127246783530383e-10,1.5511735168976012e-10,20.09059783051532
Lettuce and chicory,309483.0982145121,0.0005950235967158736,0.6254038211816108,6.046009352443179e-12,1.9226368100510766e-12,49.11794513822535
Maize,653225.4269110484,0.00487200369103929,0.6807795718786133,2.0247950719974225e-11,7.458380354356177e-12,16.005521896835155
Maize; green,200658.05221856665,0.006394538191526517,1.6627197008616632,4.593424562605905e-11,3.1867837451951693e-11,32.21816450693571
Mangoes; mangosteens; guavas,83876.84,0.012338812075980869,1.29661757448243,3.9456246531003924e-10,1.4710630581672924e-10,25.312473670150187
Meat nes,,,,,,
Meat; cattle,1136532.8599999999,0.2769986111292401,40.48097346896953,1.25660315769686e-09,2.437224834214122e-10,37.41987744246481
Meat; buffalo,5003.230000000001,0.0002209252360757796,37.740536305464886,2.2963392235704984e-09,4.41565221018781e-11,1.5889127958938523
Milk; whole fresh buffalo,,,,,,
Meat; chicken,2223495.39,0.08997467125068001,10.943049069015013,2.3059417066612197e-10,4.046541839274063e-11,38.37799780953599
Meat; duck,35519.93,0.0006845212307828627,10.689780535432197,1.2232576019710353e-10,1.9271469025498156e-11,29.648849841907566
Meat; goat,827.6,0.0012295129913965715,29.86288784214441,3.5994261897494433e-09,1.485636770658013e-09,156.69060720379403
Meat; goose and guinea fowl,2752.98,3.487093331444022e-05,9.338615975306096,9.211176568620187e-11,1.2666613384201928e-11,22.745526695014163
Meat; horse,5647.750000000001,0.0002117040555454245,35.08532930060681,2.4329244765003437e-10,3.748467186851834e-11,28.530972398477065
