,kg,kgCO2,exp_extinctions,swwu,exp_extinctions_err,exp_extinctions_per_kg,kgCO2_per_kg,swwu_per_kg,exp_extinctions_per_kg_err,group_name_v7
Blueberries,0.0014522222239440614,0.001824503117109639,5.783976715540306e-14,0.08227280436627964,4.3390536516221466e-18,1.0864281168908858e-14,0.00034270391864774503,0.015453638960688616,8.15022279594362e-19,Fruit and vegetables
Brazil nuts; with shell,4.842590355621072e-05,0.0003133258160864543,9.006432406559063e-14,0.0005479139793125487,2.3515253993641044e-16,5.073207205231591e-13,0.0017649239077142725,0.003086328772834838,1.324583926333699e-15,"Legumes, beans, nuts"
Broad beans; horse beans; dry,7.454364900041002e-05,0.00012834165850533194,1.3960233468051339e-14,0.0003437854095585637,1.1614551205250664e-18,5.108455006306208e-14,0.000469639414992335,0.0012580106919942641,4.250101718302034e-18,"Legumes, beans, nuts"
"Butter, Cream & Ghee",0.012590801774826832,0.03747723424989466,3.323818800810009e-13,0.1268937433467248,7.079170440195734e-17,7.200978144463524e-15,0.0008119357910926546,0.002749124207030322,1.5336862409093637e-18,Dairy and eggs
Cabbages and other brassicas,0.0029396250219664763,0.0018395978653120031,6.823185862265842e-15,0.03653363696541658,5.763165666178003e-19,6.331444517383787e-16,0.00017070195732075166,0.003390068805599894,5.347819097482401e-20,Fruit and vegetables
Carrots and turnips,0.007470032589640776,0.0027930224777928977,2.2002064057254413e-13,0.049207848413886736,3.0855783484656365e-18,8.034307832701177e-15,0.0001019904419505729,0.0017968814240030776,1.1267345749462458e-19,Fruit and vegetables
Cashew nuts; with shell,0.000447623968372699,0.00026724964314425265,1.5326397138794865e-12,0.005316634267692132,1.1782053643665241e-16,9.339729131209503e-13,0.00016285884117289598,0.003239895423579988,7.179847203794041e-17,"Legumes, beans, nuts"
Cassava,0.00047558088013690457,0.000661943416150421,4.5603917979379666e-14,0.010307098413044505,3.4417482067376733e-19,2.6156841997406995e-14,0.000379668022280438,0.0059117978583250845,1.9740686332959846e-19,Fruit and vegetables
Cauliflowers and broccoli,0.007103747791468656,0.004463243995768786,1.1499612333956573e-13,0.19633597998482608,2.155701011116699e-17,4.415737064082817e-15,0.00017138414205464247,0.007539106872950806,8.277678044642126e-19,Fruit and vegetables
Cheese,0.0344874949207312,0.10265398097366779,9.104279938673139e-13,0.34757495252544623,6.067861945693227e-16,7.200978144463527e-15,0.0008119357910926551,0.002749124207030322,4.799340700075938e-18,Dairy and eggs
Cherries,0.0003451523531702625,0.0002654140854071135,5.756783478358361e-14,0.021064925479229744,2.0275760848119533e-16,4.54963541624343e-14,0.00020975903079863804,0.01664779149000787,1.60241079055126e-16,Fruit and vegetables
