,Item,Group,tonnage,Pasture_m2,Arable_m2,Scarcity_weighted_water_l,ghg_food,ghg_feed,ghg_total,bd_opp_food,bd_opp_feed,bd_opp_total,bd_opp_food_err,bd_opp_feed_err,bd_opp_total_err,Cons,Cons_err,primary_tonnage
84,Onions and shallots; green,Fruit and vegetables,19157.01916678139,0.0,16745004.52092575,140642151.68558398,8028768.787174894,0.0,8028768.787174894,7.759151624671257e-05,0.0,7.759151624671257e-05,3.810173643086887e-05,0.0,3.810173643086887e-05,19157.01916678139,624.4481894794427,19436.87409140392
85,Oranges,Fruit and vegetables,631070.5299999999,0.0,239328905.36240396,27587964353.6105,217913632.6959645,0.0,217913632.6959645,0.03682349172532268,0.0,0.03682349172532268,0.02690536179975402,0.0,0.02690536179975402,631070.5299999999,188794.0427489613,631070.5466342885
86,Other beans; green,Fruit and vegetables,65851.6206597892,0.0,72129929.7194933,2522212750.895887,102560607.3144496,0.0,102560607.3144496,0.008415666602744298,0.0,0.008415666602744298,0.0019003617248581942,0.0,0.0019003617248581942,65851.62065978922,5189.542953337754,67175.56310319446
87,Other berries and fruits of the genus vaccinium n.e.c.,Fruit and vegetables,27110.379999999997,0.0,33676523.778724015,715890166.7578,33864732.24863017,0.0,33864732.24863017,0.0015959482945518857,0.0,0.0015959482945518857,0.0010142962876331172,0.0,0.0010142962876331172,27110.379999999997,1628.9660727570924,27110.871689434545
88,Other fruits; n.e.c.,Fruit and vegetables,497713.11,0.0,703590211.6263369,21156421559.6707,404625417.039714,0.0,404625417.039714,0.1904137863822733,0.0,0.1904137863822733,0.20497273880143219,0.0,0.20497273880143219,497713.11,122487.25266808641,497732.1296259302
89,Other nuts (excluding wild edible nuts and groundnuts); in shell; n.e.c.,"Legumes, beans, nuts",25676.79,0.0,187386444.6675066,1107069392.0561001,38748239.29723091,0.0,38748239.29723091,0.032633267931778454,0.0,0.032633267931778454,0.0157878008520645,0.0,0.0157878008520645,25676.79,4975.266388842231,25676.79
90,Other oil seeds; n.e.c.,"Legumes, beans, nuts",13195.416582839007,0.0,131619987.16073567,332274886.73702,73485574.34258582,0.0,73485574.34258582,0.012271876608322532,0.0,0.012271876608322532,0.00887783648251134,0.0,0.00887783648251134,13195.416582839007,1971.2410081667144,24019.19965917394
91,Other pulses n.e.c.,"Legumes, beans, nuts",3067.7611076918247,0.0,10685982.28463408,14422171.603157038,5277384.168780313,0.0,5277384.168780313,6.125829850855886e-05,0.0,6.125829850855886e-05,2.8780328284168206e-05,0.0,2.8780328284168206e-05,3067.7611076918247,2.4189013629341765,208236.88417651743
92,Other stimulant; spice and aromatic crops; n.e.c.,Stimulants and spices,23269.7,0.0,135940660.8243438,855027324.911,255746671.55615166,0.0,255746671.55615166,0.015206586467353247,0.0,0.015206586467353247,0.006484082989307305,0.0,0.006484082989307305,23269.700000000004,4602.965481171158,23269.700000000004
93,Other tropical fruits; n.e.c.,Fruit and vegetables,7700.2,0.0,9284956.941316834,226924796.7205,9696686.44282097,0.0,9696686.44282097,0.005800151466773002,0.0,0.005800151466773002,0.0034796812877452015,0.0,0.0034796812877452015,7700.200000000001,1171.8621898192087,7706.509437540695
