,Item,Group,tonnage,Pasture_m2,Arable_m2,Scarcity_weighted_water_l,ghg_food,ghg_feed,ghg_total,bd_opp_food,bd_opp_feed,bd_opp_total,bd_opp_food_err,bd_opp_feed_err,bd_opp_total_err,Cons,Cons_err,primary_tonnage
63,Meat of buffalo; fresh or chilled,Ruminant meat,5003.2300000000005,244272773.97675222,0.0,7949696.1678,188824583.45959112,0.0,188824583.45959112,0.013144221216930938,0.0,0.013144221216930938,0.00024205160131428487,0.0,0.00024205160131428487,5003.230000000001,43.579044997491366,5003.230000000001
64,Meat of cattle with the bone; fresh or chilled,Ruminant meat,5367585.799051136,67983799375.43103,8426764051.401018,42528920330.534004,39065366085.12039,6942590467.151649,46007956552.27205,0.7867706767129461,0.1943208558550384,0.9810915325679844,0.11368154540108268,0.031139954012974713,0.1448214994140574,1136532.8599999999,17822.35502768284,1136532.8599999999
65,Meat of chickens; fresh or chilled,Poultry and pig meat,9561682.691996964,0.0,14902456873.468086,85333301206.9334,12948653829.633747,11383165327.864923,24331819157.498672,0.0,0.5127249869439517,0.5127249869439517,0.0,0.08997466278211877,0.08997466278211877,2223495.3899999997,57739.30126332771,2223495.39
66,Meat of ducks; fresh or chilled,Poultry and pig meat,153529.1688775309,0.0,244749991.47974133,1053125070.9650679,199925447.35988367,179774808.97403044,379700256.33391416,0.0,0.004345002439397904,0.004345002439397904,0.0,0.0006845212264377414,0.0006845212264377414,35519.92999999999,891.2813244207414,35519.93
67,Meat of geese; fresh or chilled,Poultry and pig meat,8787.77265231105,0.0,11937131.448498629,62617980.080840096,15495318.064405665,10213704.94329251,25709023.007698175,0.0,0.0002535818486988,0.0002535818486988,0.0,3.487091686458661e-05,3.487091686458661e-05,2752.98,195.86639995044743,2752.98
68,Meat of goat; fresh or chilled,Ruminant meat,2430.309045281444,55836862.04178883,3823322.4351986106,129677146.52185993,22727001.886828486,1987524.0913302244,24714525.978158712,0.0018257257993995624,0.00011399810441515147,0.0019397239038147138,0.0005950527706369565,2.2104542323666556e-05,0.000617157312960623,827.6,27.37390545426436,827.6
69,Meat of pig with the bone; fresh or chilled,Poultry and pig meat,7104463.360350782,89329740.33908251,10920896169.727995,75363316967.15921,10482096009.687538,8864686023.184385,19346782032.871925,0.0003630887644842383,0.2278269253452834,0.22819001410976764,0.00014333456043400214,0.03924609663668808,0.03938943119712208,1623277.98,35955.89855570136,1623277.98
70,Meat of rabbits and hares; fresh or chilled,Ruminant meat,509.1632811494164,10609575.26385973,792558.6953619824,13106866.279515732,5591922.415379156,486295.5367981616,6078217.952177319,0.0003794238314284186,2.42377588538097e-05,0.0004036615902822283,0.00048007281988412945,5.510463667475512e-06,0.000485583283551605,130.94,52.83736087369881,130.94
71,Meat of sheep; fresh or chilled,Ruminant meat,630393.2872460842,14780015840.9209,747228995.3289785,5966318083.932434,7176061646.282364,647990190.4436445,7824051836.726008,0.19519864320171845,0.018417382141978154,0.21361602534369661,0.03760188746488602,0.0026836601181612226,0.04028554758304725,261145.68,993.6872190242896,261145.68
72,Meat of turkeys; fresh or chilled,Poultry and pig meat,544673.7112040448,0.0,833757800.6665459,4494323093.987055,773297497.5529765,666635687.6091833,1439933185.16216,0.0,0.01761207098651486,0.01761207098651486,0.0,0.0027355759179070907,0.0027355759179070907,137017.99,2001.5882460685436,137017.99
