,kgCO2_per_item,exp_extinctions_per_item,scarcity_weighted_water_use_litres_per_item,exp_extinctions_per_item_err
893107,1.6763609560708015,1.3607738853995578e-11,5.929718469261076,1.5842438049316101e-12
94267,0.6438608558177765,6.679763020174959e-11,6.350673016063639,1.7544181587683136e-13
23821,0.2261203301097558,9.15848066606357e-13,1.4641907793889044,5.627761492600785e-14
42767,0.14189050052173965,3.4114705682998854e-13,1.859182085395124,4.586394996417143e-14
973190,0.3125341421183693,7.514252353083448e-13,4.09511472553992,2.2251523396617158e-13
141643,18.417393046540973,2.2758104174887132e-10,17.158975218877888,7.619898850031018e-11
193648,0.2697482602712276,1.0703924544883933e-10,1.590711856163721,1.8555919990497587e-13
652407,1.3399082289720845,1.0876608168510551e-11,4.739598917331917,1.0121317573933862e-12
773308,1.938615045756473,1.9429951229766564e-10,11.89227583024003,1.2621238729826817e-12
900089,0.7488903923209002,1.6583464421242545e-12,24.143256732807345,2.2660971087348235e-13
888377,0.14713541469339575,5.838504297209415e-11,0.8676610124529268,5.520769583949672e-14
36197,0.4138215407135694,1.4036472378144935e-11,5.910621128869947,1.7796110473434762e-14
272677,0.7488903923209002,1.6583464421242545e-12,24.143256732807345,2.2660971087348235e-13
515194,6.560039101240808,8.899823259969252e-11,17.929534559817434,2.1086102178431738e-13
476016,0.17052709410811204,6.17829838241535e-12,7.073410710086075,6.110353571858257e-13
50065,0.7013765067982921,3.260245743321212e-11,4.924044973323513,1.0376281720135133e-13
89177,0.605459267894025,1.0082251844325782e-11,11.6490018490986,2.871182579043675e-14
142607,0.6250682842367385,1.5028504706166896e-12,8.19022945107984,8.900609358646863e-13
44887,0.7813328478227275,5.925821672804003e-11,8.413810930791158,2.9148068335166033e-13
46371,2.074105288782121,5.0959286716072374e-11,11.47930708399627,2.332767146859742e-13
100765,0.8156849183742183,3.6364125007443424e-11,25.651183305291806,6.132958250844122e-12
234773,1.938615045756473,1.9429951229766564e-10,11.89227583024003,1.2621238729826817e-12
235838,1.938615045756473,1.9429951229766564e-10,11.89227583024003,1.2621238729826817e-12
973642,0.145095503664499,8.619754476896807e-12,1.3469321761723878,3.045931054004499e-15
